PolyID,Vegetation Map Unit Name,Area_Acres,Percent_Herbaceous,Percent_Shrub,Percent_Tree,ET_mm,ConsumptiveUse_AF
1270,Tamarisk Woodland,176.9,19.80,74.46,5.74,1053.53,611.45
4284,Salt Meadow/Dry Grassland,0.65,95.43,3.32,1.25,1053.64,2.25
5737,Tamarisk Woodland,0.64,58.63,35.22,6.15,1053.73,2.21
385,Tamarisk Woodland,5.86,34.70,41.37,23.93,1053.99,20.26
944,Wet Native Willow Shrubland,1.79,66.32,32.20,1.47,1054.04,6.19
6086,Tamarisk Woodland,0.72,15.31,71.40,13.29,1054.13,2.49
2480,Dry Native Riparian Shrubland,0.76,62.12,37.36,0.52,1054.23,2.63
3638,Native Riparian Forest,2.84,14.27,8.18,77.54,1054.28,9.82
5248,Wet Meadow,0.37,79.76,19.71,0.53,1054.29,1.28
187,Salt Meadow/Dry Grassland,1.32,87.92,10.50,1.58,1054.52,4.57
4552,Salt Meadow/Dry Grassland,1.84,84.49,8.43,7.08,1054.84,6.37
3808,Native Riparian Forest,1.21,24.51,35.05,40.44,1055.16,4.19
5714,Tamarisk Woodland,0.7,60.56,37.98,1.46,1055.31,2.42
8160,Mixed Russian Olive-Tamarisk Woodland and Scrub,0.23,27.03,61.41,11.57,1055.36,0.8
4970,Salt Meadow/Dry Grassland,0.65,78.73,8.71,12.56,1055.42,2.25
1284,Tamarisk Woodland,3.41,8.09,71.14,20.77,1055.45,11.81
688,Tamarisk Woodland,4.26,97.40,1.65,0.95,1055.97,14.76
5645,Tamarisk Woodland,7.33,83.36,15.41,1.24,1056.1,25.4
4765,Salt Meadow/Dry Grassland,2.17,82.56,16.66,0.79,1056.14,7.52
3169,Marsh/Wetland,1.48,80.04,19.81,0.15,1056.27,5.13
4204,Native Riparian Forest,9.05,39.44,22.42,38.14,1056.33,31.36
5463,Wet Meadow,7.72,95.13,4.11,0.76,1056.33,26.75
5207,Wet Meadow,0.38,89.92,6.07,4.01,1056.48,1.32
5470,Wet Meadow,65,96.42,3.16,0.43,1056.68,225.34
630,Salt Meadow/Dry Grassland,0.45,99.67,0.33,0.00,1056.89,1.56
2421,Dry Native Riparian Shrubland,2.39,84.17,15.73,0.09,1057.01,8.29
4886,Salt Meadow/Dry Grassland,14.76,78.46,12.42,9.12,1057.19,51.19
6586,Russian Olive Woodland,3.05,69.90,21.29,8.81,1057.54,10.58
4315,Salt Meadow/Dry Grassland,0.39,94.96,3.72,1.32,1057.74,1.35
5846,Tamarisk Woodland,0.65,39.57,24.38,36.05,1057.85,2.26
6220,Russian Olive Woodland,4.74,76.16,23.24,0.60,1057.97,16.45
6638,Russian Olive Woodland,12.38,32.84,35.98,31.18,1058.08,42.98
5498,Wet Meadow,0.81,42.68,54.41,2.91,1058.31,2.81
4286,Salt Meadow/Dry Grassland,2.5,99.22,0.68,0.10,1058.69,8.68
6214,Tamarisk Woodland,30.9,16.72,39.46,43.82,1058.79,107.34
